inc_before_tax,mo_net_tax_liab_dol_chg_single,mo_net_tax_liab_dol_chg_mar0kids,mo_net_tax_liab_dol_chg_hoh2kids,mo_net_tax_liab_dol_chg_mar2kids
204000.48,-2167.064,-1978.0635,-2072.564,-1978.0635
204021.45,-2167.3154,-1978.3154,-2072.8154,-1978.3154
204042.44,-2167.5674,-1978.5674,-2073.0674,-1978.5674
204063.4,-2167.8188,-1978.8188,-2073.3188,-1978.8188
204084.39,-2168.0708,-1979.0708,-2073.5708,-1979.0708
204105.36,-2168.3223,-1979.3223,-2073.8223,-1979.3223
204126.34,-2168.5742,-1979.5742,-2074.0742,-1979.5742
204147.31,-2168.8257,-1979.8257,-2074.3257,-1979.8257
204168.3,-2169.0771,-1980.0771,-2074.5771,-1980.0771
204189.27,-2169.3286,-1980.3291,-2074.8286,-1980.3291
204210.25,-2169.5806,-1980.581,-2075.0806,-1980.581
204231.22,-2169.832,-1980.8325,-2075.332,-1980.8325
204252.2,-2170.084,-1981.0845,-2075.584,-1981.0845
204273.17,-2170.3364,-1981.3359,-2075.8364,-1981.3359
204294.16,-2170.5884,-1981.5879,-2076.0884,-1981.5879
204315.12,-2170.8398,-1981.8394,-2076.3398,-1981.8394
204336.11,-2171.0918,-1982.0913,-2076.5918,-1982.0913
204357.1,-2171.3438,-1982.3433,-2076.8438,-1982.3433
204378.06,-2171.5947,-1982.5947,-2077.0947,-1982.5947
204399.05,-2171.8467,-1982.8462,-2077.3467,-1982.8462
204420.02,-2172.0981,-1983.0981,-2077.5981,-1983.0981
204441.0,-2172.35,-1983.3501,-2077.85,-1983.3501
204461.97,-2172.6016,-1983.6016,-2078.1016,-1983.6016
204482.95,-2172.8535,-1983.8535,-2078.3535,-1983.8535
204503.92,-2173.105,-1984.105,-2078.605,-1984.105
204524.9,-2173.357,-1984.3569,-2078.857,-1984.3569
204545.88,-2173.6084,-1984.6089,-2079.1084,-1984.6089
204566.86,-2173.8604,-1984.8604,-2079.3604,-1984.8604
204587.83,-2174.1113,-1985.1118,-2079.6113,-1985.1118
204608.81,-2174.3633,-1985.3638,-2079.8633,-1985.3638
204629.78,-2174.6157,-1985.6152,-2080.1157,-1985.6152
204650.77,-2174.8667,-1985.8672,-2080.3667,-1985.8672
204671.73,-2175.1191,-1986.1187,-2080.6191,-1986.1187
204692.72,-2175.371,-1986.3706,-2080.871,-1986.3706
204713.69,-2175.6226,-1986.6221,-2081.1226,-1986.6221
204734.67,-2175.8745,-1986.874,-2081.3745,-1986.874
204755.64,-2176.126,-1987.126,-2081.626,-1987.126
204776.62,-2176.378,-1987.3779,-2081.878,-1987.3779
204797.6,-2176.629,-1987.6289,-2082.129,-1987.6289
